smss.exe;\windows\system32\smss.exe;system
csrss.exe;\windows\system32\csrss.exe;smss.exe
wininit.exe;\windows\system32\wininit.exe;smss.exe
winlogon.exe;\windows\system32\winlogon.exe;smss.exe
services.exe;\windows\system32\services.exe;wininit.exe
lsass.exe;\windows\system32\lsass.exe;wininit.exe
lsaiso.exe;\windows\system32\lsass.exe;wininit.exe
lsm.exe;\windows\system32\lsm.exe;wininit.exe
svchost.exe;\windows\system32\svchost.exe;services.exe
runtimebroker.exe;\windows\system32\runtimebroker.exe;svchost.exe
taskhostw.exe;\windows\system32\taskhostw.exe;svchost.exe
userinit.exe;\windows\system32\userinit.exe;winlogon.exe
explorer.exe;\windows\explorer.exe;userinit.exe
fontdrvhost.exe;\windows\system32\fontdrvhost.exe;winlogon.exe
dwm.exe;\windows\system32\dwm.exe;winlogon.exe
spoolsv.exe;\windows\system32\spoolsv.exe;services.exe
